customer_id,customer_name,phone_no,city,signup_date,loyalty_status
C0001,Michael Vazquez,1786829141,Bangalore,2024-05-22,
C0002,Gary Padilla,2892758224,Chennai,2023-12-28,Bronze
C0003,Melissa Johnson,8798527213,Kolkata,2023-08-27,Gold
C0004,Scott Herring,8806570835,Chennai,2023-01-17,Gold
C0005,Jordan Baker,9863825102,Kolkata,2022-12-22,
C0006,Janet Gonzalez,8407123247,Bangalore,2025-01-20,Silver
C0007,Brittany Steele,9555226604,Hyderabad,2024-11-27,Silver
C0008,Tiffany Lowery,7531836266,Kolkata,2022-08-23,Bronze
C0009,Jason Ramirez,668510912,Bangalore,2022-10-25,
C0010,Susan Peterson,3407793366,Hyderabad,2025-04-02,Bronze
C0011,Aaron Lopez,2143730148,Delhi,2024-06-17,
C0012,William Morrison,196996201,Hyderabad,2024-08-12,
C0013,Daniel Watts,4371663626,Chennai,2023-12-24,
C0014,Edward Bennett,148919144,Chennai,2025-03-22,
C0015,Jason Hodge,8450213575,Bangalore,2025-05-12,
C0016,Micheal Pierce,7139972305,Mumbai,2024-08-12,Gold
C0017,Donna Valdez,5643308350,Chennai,2023-07-26,
C0018,Joshua Elliott,2058864283,Mumbai,2023-09-28,Silver
C0019,Megan Sloan,8054209821,Mumbai,2023-01-02,Silver
C0020,Laurie Sutton,13227163,Kolkata,2022-08-20,Bronze
C0021,Matthew Camacho,4705292835,Hyderabad,2023-05-15,Gold
C0022,Katherine Marsh,1824451675,Hyderabad,2023-12-04,Bronze
C0023,Chad Taylor,8050080983,Kolkata,2025-04-07,Silver
C0024,Erin Cooper,7866296369,Kolkata,2025-03-22,
C0025,David Thomas DDS,1794822264,Hyderabad,2022-09-24,
C0026,Joseph Williams,6490778777,Chennai,2023-04-13,
C0027,Kelli Wilson,4291018117,Bangalore,2023-02-01,
C0028,Michael Green,8071851717,Hyderabad,2025-01-10,
C0029,Matthew Lewis,6265932988,Kolkata,2023-07-10,
C0030,Ashley Lynch,1070539536,Chennai,2023-02-02,Silver
C0031,Eric Weaver,4768467773,Delhi,2025-01-19,Silver
C0032,Keith Robinson,3663752294,Hyderabad,2024-02-06,Gold
C0033,Joshua King,8564099779,Hyderabad,2024-09-17,Silver
C0034,Megan Shannon,5187602915,Chennai,2025-01-12,
C0035,Sean Ward,1855689998,Mumbai,2023-04-13,
C0036,Susan Gibson,1150957003,Mumbai,2024-12-24,
C0037,Melanie Smith,2271020539,Mumbai,2023-08-24,
C0038,Albert Mccoy,4569377259,Bangalore,2022-12-01,Gold
C0039,Michael Davis,8476745718,Bangalore,2024-05-24,
C0040,Abigail Adkins,8515979663,Hyderabad,2024-01-13,Silver
C0041,Andrew Garcia,1083504180,Chennai,2024-10-21,Gold
C0042,Jasmine Nelson,619447059,Chennai,2022-10-29,Silver
C0043,Robert Simmons,2493804532,Bangalore,2022-10-11,Gold
C0044,Joseph Richmond,3670940080,Kolkata,2024-09-06,Silver
C0045,Kimberly Barry,7803555476,Bangalore,2024-10-28,
C0046,Mary Mclaughlin,2036394044,Delhi,2025-03-21,
C0047,Michael Nunez,4353922303,Delhi,2022-11-11,Silver
C0048,Hunter Conway,1224457658,Hyderabad,2025-01-24,
C0049,Kevin Dominguez,9601334773,Bangalore,2023-04-26,
C0050,Kelsey Richards,5400825814,Mumbai,2022-10-16,Bronze
C0051,Anthony Fields,1435513513,Chennai,2023-07-25,Gold
C0052,Barbara Clayton,9220784837,Kolkata,2024-10-07,Silver
C0053,Joseph Ball,67340244,Kolkata,2022-09-20,Bronze
C0054,George Simmons,1111210272,Delhi,2024-07-06,
C0055,Audrey Lynn,2686306056,Delhi,2023-04-29,Gold
C0056,Crystal Gonzalez,9656788334,Delhi,2024-06-12,Bronze
C0057,John Strong,7005803497,Chennai,2024-10-14,Bronze
C0058,Matthew Figueroa,2917181114,Chennai,2023-05-04,
C0059,Daniel Williams MD,5344438059,Kolkata,2024-04-26,Silver
C0060,Paul Miller,9247072270,Chennai,2024-05-25,
C0061,Timothy Nelson,4111388741,Hyderabad,2023-03-17,
C0062,Christopher Cisneros,6238563649,Delhi,2024-06-18,Silver
C0063,Jessica Payne,2799857441,Chennai,2024-04-20,Gold
C0064,Jennifer Miller,2673813027,Delhi,2023-10-03,Gold
C0065,Jacqueline Flores,797126462,Chennai,2024-04-03,Silver
C0066,Carla Chambers,3307656972,Chennai,2023-05-10,
C0067,Joseph Brennan,9296920669,Hyderabad,2023-10-08,Bronze
C0068,Jeffrey Washington,1748026039,Delhi,2024-08-11,
C0069,Amber Mann,8267421428,Bangalore,2023-08-12,
C0070,Jody Stanton,4568518150,Bangalore,2024-06-07,Gold
C0071,Heather Rosales,6139729855,Mumbai,2024-12-21,
C0072,David Oliver,3708001025,Mumbai,2024-07-02,Gold
C0073,Tracy Garcia,3676951649,Bangalore,2024-08-29,Bronze
C0074,Frank Roach,2017796308,Chennai,2024-02-22,Bronze
C0075,Stacy Austin,7030522030,,2024-11-05,
C0076,Kayla Sandoval,2335898819,Chennai,2025-05-06,
C0077,Brianna Gibson,994751192,Mumbai,2024-09-11,Silver
C0078,John Snyder,240712276,Mumbai,2023-11-14,
C0079,Megan Moreno,3622260241,Kolkata,2023-05-27,Gold
C0080,Jennifer Evans,3753033188,Bangalore,2024-06-20,Silver
C0081,Samuel Barnes,7603014254,Kolkata,2023-07-04,Gold
C0082,Paula Perez,8423709144,Mumbai,2024-06-14,Bronze
C0083,Danny Jensen,9382177245,Hyderabad,2024-11-03,
C0084,Jaclyn Patel,6574479424,Bangalore,2023-05-15,
C0085,David Burton,3366399389,Hyderabad,2023-07-14,Silver
C0086,Dr. Scott Allen,520562351,Mumbai,2023-06-18,Bronze
C0087,Joseph Stevenson,1824131369,Bangalore,2022-11-14,Gold
C0088,Joshua Proctor,6055059818,Mumbai,2025-04-04,Silver
C0089,Tina Freeman,5701941245,Chennai,2024-07-29,Silver
C0090,Jessica Johnson,3047603166,Mumbai,2025-03-20,Gold
C0091,Lauren Gutierrez,5085702195,Chennai,2023-06-03,
C0092,Carolyn Dennis,13872500,,2024-06-07,Gold
C0093,Andrew Little,559058936,,2023-01-25,Silver
C0094,Mercedes Potter,8770885132,Hyderabad,2022-08-16,Bronze
C0095,Belinda Hamilton,2041609986,Mumbai,2023-09-07,
C0096,Lauren Hanna,4559497405,Mumbai,2025-05-15,Bronze
C0097,Tyrone Cooper,9384283920,Bangalore,2023-08-19,Gold
C0098,Cindy Mejia,5522686013,Bangalore,2024-02-01,Silver
C0099,Paul Trujillo,4190678847,Kolkata,2023-09-08,
C0100,Brent Johnson,5509228689,Hyderabad,2023-08-09,Gold
C0101,Linda Parks,4850367501,Kolkata,2025-01-09,
C0102,Mary Poole,7585604072,Delhi,2023-07-22,
C0103,Scott Gonzalez,7052461947,Bangalore,2023-03-12,
C0104,Zachary Wheeler,528524830,Chennai,2023-07-26,
C0105,Michael Camacho,4053188809,Delhi,2023-02-01,Bronze
C0106,Bryce Greene,1604911797,Bangalore,2024-07-23,
C0107,Cory Leon,9610020539,Hyderabad,2025-07-09,Gold
C0108,Alice Mitchell,3324070900,Chennai,2022-08-14,Silver
C0109,Alexandra Johnson,2397740955,Mumbai,2025-06-13,
C0110,Christina Davidson,1641241618,,2023-01-20,
C0111,Howard Miller,9962615169,Bangalore,2023-09-19,Bronze
C0112,Troy Harris,177042583,Kolkata,2023-08-13,Silver
C0113,Connie Bishop,4662657457,Hyderabad,2023-12-20,
C0114,William Patterson,5495113747,Delhi,2022-11-06,Gold
C0115,Melissa Stevens,1344934738,Hyderabad,2024-12-27,Bronze
C0116,Gina Underwood,9080492311,Kolkata,2023-02-21,Bronze
C0117,Sean Matthews,3385017343,Delhi,2023-07-18,Gold
C0118,Richard Johnson,2178270476,Hyderabad,2025-02-20,Gold
C0119,Brandon Allen,8663144931,Bangalore,2022-09-15,Gold
C0120,Bryan Peterson,5385324751,Hyderabad,2023-09-28,Gold
C0121,Antonio Ellis,604109063,Hyderabad,2024-06-28,Silver
C0122,Madison Brennan,5342909032,Mumbai,2023-11-21,
C0123,Mrs. Laura White,2567440123,Mumbai,2023-08-23,
C0124,Cheyenne Nguyen,2010106232,Hyderabad,2024-07-06,Silver
C0125,Paula Anderson,550237574,Bangalore,2022-09-11,
C0126,Amber Ward,1848377060,Mumbai,2023-11-24,
C0127,Timothy Baker,5172128927,Chennai,2023-10-28,Bronze
C0128,Shannon Valdez,97882109,Kolkata,2023-08-18,Gold
C0129,Robin Barnett,2928493738,Kolkata,2025-06-04,Bronze
C0130,David Jones,8239465583,Kolkata,2023-05-29,
C0131,Jesus Ramirez,159390665,Chennai,2024-10-22,Gold
C0132,Amy Hernandez,8578628189,Bangalore,2023-03-30,
C0133,Brandi Macias,3934983165,Chennai,2024-08-11,Gold
C0134,Kimberly Brown,2559266580,Mumbai,2024-04-15,Bronze
C0135,Barbara Mcgrath,2341803957,Chennai,2023-03-09,Silver
C0136,Wendy Johnson,3033399949,Chennai,2024-12-04,Silver
C0137,Sarah Martinez,6678939189,Mumbai,2023-04-05,
C0138,Miguel Baldwin,3037665449,Chennai,2022-09-12,Silver
C0139,Jacob Griffin,3581899386,Bangalore,2024-11-16,Bronze
C0140,Ashlee Campbell,2800512606,Delhi,2022-09-01,Gold
C0141,Walter Cordova,2217115399,Mumbai,2024-06-21,
C0142,Susan Campbell,6499987151,Delhi,2024-03-04,Bronze
C0143,Kimberly Wiggins,1483134586,Mumbai,2023-09-01,Gold
C0144,Austin Graham,9228020939,Hyderabad,2024-04-19,Silver
C0145,Alicia Stewart,5878007351,Hyderabad,2025-03-08,
C0146,Cynthia Roman,5556529134,Mumbai,2024-09-28,Silver
C0147,Maria Gilbert,9006205711,Kolkata,2022-10-25,Gold
C0148,Ebony Fisher,5783974834,Bangalore,2023-07-05,Silver
C0149,Alicia Marsh,6924743861,Hyderabad,2025-03-31,Bronze
C0150,Joshua Kirk,7617468307,Delhi,2022-12-31,Bronze
